symbol,timeframe,r1,r2,strategy_name,start_time,end_time,total_return,annual_return,max_drawdown,sharpe_ratio,win_rate,profit_factor,total_trades,winning_trades,losing_trades,avg_win,avg_loss,final_capital
BTCUSDT,1d,20,62,RSI_R1_20_R2_62,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.15254854579119964,-0.19995544304950064,-0.29740169003416667,-0.6024055778026239,0.5,0.5409582426847442,4,2,2,0.11617705279454626,-0.17429755909057804,8474.514542088004
BTCUSDT,1d,20,63,RSI_R1_20_R2_63,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.1984339733907431,-0.25778327228391906,-0.33544401531827134,-0.8015170242802718,0.5,0.3842786152258977,4,2,2,0.08700389159610544,-0.17429755909057804,8015.660266092569
BTCUSDT,1d,20,64,RSI_R1_20_R2_64,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.1984339733907431,-0.25778327228391906,-0.33544401531827134,-0.8015170242802718,0.5,0.3842786152258977,4,2,2,0.08700389159610544,-0.17429755909057804,8015.660266092569
BTCUSDT,1d,20,65,RSI_R1_20_R2_65,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.1984339733907431,-0.25778327228391906,-0.33544401531827134,-0.8015170242802718,0.5,0.3842786152258977,4,2,2,0.08700389159610544,-0.17429755909057804,8015.660266092569
BTCUSDT,1d,20,66,RSI_R1_20_R2_66,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.1984339733907431,-0.25778327228391906,-0.33544401531827134,-0.8015170242802718,0.5,0.3842786152258977,4,2,2,0.08700389159610544,-0.17429755909057804,8015.660266092569
BTCUSDT,1d,20,67,RSI_R1_20_R2_67,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.1984339733907431,-0.25778327228391906,-0.33544401531827134,-0.8015170242802718,0.5,0.3842786152258977,4,2,2,0.08700389159610544,-0.17429755909057804,8015.660266092569
BTCUSDT,1d,20,68,RSI_R1_20_R2_68,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.1984339733907431,-0.25778327228391906,-0.33544401531827134,-0.8015170242802718,0.5,0.3842786152258977,4,2,2,0.08700389159610544,-0.17429755909057804,8015.660266092569
BTCUSDT,1d,20,69,RSI_R1_20_R2_69,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.1984339733907431,-0.25778327228391906,-0.33544401531827134,-0.8015170242802718,0.5,0.3842786152258977,4,2,2,0.08700389159610544,-0.17429755909057804,8015.660266092569
BTCUSDT,1d,20,70,RSI_R1_20_R2_70,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.1984339733907431,-0.25778327228391906,-0.33544401531827134,-0.8015170242802718,0.5,0.3842786152258977,4,2,2,0.08700389159610544,-0.17429755909057804,8015.660266092569
BTCUSDT,1d,20,71,RSI_R1_20_R2_71,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.1984339733907431,-0.25778327228391906,-0.33544401531827134,-0.8015170242802718,0.5,0.3842786152258977,4,2,2,0.08700389159610544,-0.17429755909057804,8015.660266092569
BTCUSDT,1d,20,72,RSI_R1_20_R2_72,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.1984339733907431,-0.25778327228391906,-0.33544401531827134,-0.8015170242802718,0.5,0.3842786152258977,4,2,2,0.08700389159610544,-0.17429755909057804,8015.660266092569
BTCUSDT,1d,20,73,RSI_R1_20_R2_73,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,20,74,RSI_R1_20_R2_74,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,20,75,RSI_R1_20_R2_75,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,20,76,RSI_R1_20_R2_76,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,20,77,RSI_R1_20_R2_77,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,20,78,RSI_R1_20_R2_78,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,20,79,RSI_R1_20_R2_79,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
BTCUSDT,1d,20,80,RSI_R1_20_R2_80,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,-0.21814832172571577,-0.2822808598086789,-0.33544401531827134,-0.8991796030409783,0.5,0.3231069032992004,4,2,2,0.07280330050546058,-0.17429755909057804,7818.516782742842
